iter	Passed	Remaining
0	155	310494
1	161	161016
2	169	112518
3	187	93521
4	193	77083
5	198	65983
6	204	58169
7	209	52226
8	215	47649
9	221	43992
10	226	40919
11	229	37968
12	235	35920
13	240	34100
14	245	32504
15	251	31153
16	256	29919
17	261	28837
18	265	27666
19	270	26813
20	276	26018
21	282	25377
22	287	24719
23	292	24118
24	298	23618
25	305	23159
26	311	22758
27	317	22380
28	323	21998
29	329	21623
30	334	21263
31	340	20929
32	345	20607
33	350	20294
34	356	20017
35	361	19748
36	367	19483
37	372	19251
38	378	19028
39	383	18794
40	389	18587
41	394	18378
42	399	18181
43	405	18024
44	412	17908
45	421	17899
46	431	17936
47	437	17777
48	442	17613
49	448	17474
50	453	17328
51	458	17186
52	464	17059
53	469	16930
54	475	16810
55	480	16692
56	486	16571
57	491	16450
58	497	16351
59	502	16241
60	507	16143
61	513	16052
62	518	15948
63	524	15856
64	529	15767
65	535	15682
66	540	15606
67	548	15588
68	554	15514
69	560	15441
70	565	15373
71	571	15303
72	577	15238
73	582	15171
74	588	15113
75	594	15052
76	599	14983
77	605	14927
78	611	14874
79	617	14816
80	623	14765
81	628	14709
82	634	14651
83	639	14593
84	645	14538
85	650	14483
86	656	14427
87	662	14386
88	679	14586
89	685	14546
90	692	14517
91	697	14470
92	703	14422
93	709	14391
94	715	14343
95	721	14300
96	727	14264
97	732	14212
98	737	14167
99	743	14126
100	749	14084
101	754	14042
102	760	14006
103	766	13965
104	772	13937
105	778	13901
106	783	13859
107	789	13839
108	795	13802
109	801	13774
110	808	13759
111	814	13729
112	820	13702
113	826	13666
114	831	13631
115	838	13611
116	843	13576
117	848	13539
118	855	13514
119	860	13481
120	866	13450
121	872	13426
122	877	13392
123	883	13361
124	889	13338
125	894	13309
126	900	13287
127	906	13261
128	912	13228
129	924	13299
130	936	13360
131	942	13337
132	948	13311
133	954	13294
134	960	13268
135	966	13251
136	972	13225
137	977	13195
138	983	13172
139	989	13146
140	994	13117
141	1001	13101
